Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Austin-33-NW,2022-12-05,30.6222,-98.0846,0.3809,0.4142,0.3718,0.3647,0.3139,0.3183,0.3347,0.3685,0.3391,0.0576,0.0032,0.2565,0.1612,0.0044576675,0.9827818,0.008683854,0.9898122,0.9056335,0.9911242,0.316
Batesville-8-WNW,2022-05-23,35.8201,-91.7812,0.3064,0.2931,0.2789,0.2683,0.2801,0.3979,0.4681,0.4512,0.499,0.0896,0.002,0.3565,0.2576,-0.23599507,0.99117386,0.004432624,0.9950599,0.9232379,1.6177841,0.349
Asheville-13-S,2020-05-11,35.4185,-82.5567,0.1244,0.0874,0.0912,0.0633,0.123,0.2955,0.3622,0.3702,0.4094,0.1995,0.0035,0.2051,0.1008,-0.60468143,0.98126835,0.009454349,0.987906,0.9048005,4.059211,0.269
Austin-33-NW,2024-06-17,30.6222,-98.0846,0.1241,0.0925,0.0704,0.0537,0.0549,0.0787,0.0901,0.0798,0.0963,0.0149,0.0009,0.07,0.0316,-0.06258324,0.97769517,0.011278195,0.9880557,0.791729,1.1335227,0.15
Austin-33-NW,2022-10-31,30.6222,-98.0846,0.2126,0.1964,0.1772,0.1725,0.2016,0.2537,0.2779,0.2793,0.3178,0.1199,0.036,0.2667,0.1765,-0.22365828,0.7716461,0.12889366,0.8762886,0.7427062,1.5761851,0.299
Bedford-5-WNW,2018-09-10,38.8882,-86.5707,0.716,0.7025,0.6595,0.6935,0.6836,0.702,0.7327,0.6857,0.7451,0.2107,0.002,0.4989,0.3425,-0.019476654,0.9941836,0.0029167277,0.99662906,0.9455243,1.0397271,0.396
Batesville-8-WNW,2022-04-18,35.8201,-91.7812,0.113,0.0923,0.0921,0.0557,0.1188,0.3271,0.4041,0.3829,0.4353,0.149,0.0014,0.1704,0.076,-0.6122106,0.99271405,0.003656307,0.99495226,0.91512984,4.1574373,0.334
Asheville-13-S,2020-04-06,35.4185,-82.5567,0.1374,0.1051,0.1035,0.08,0.132,0.3024,0.3699,0.3557,0.4146,0.1177,0.0029,0.2504,0.1223,-0.549216,0.983826,0.008152938,0.9904762,0.90430427,3.436715,0.28
Blackville-3-W,2023-02-20,33.355,-81.3279,0.123,0.1099,0.1069,0.1085,0.1499,0.2268,0.2604,0.2585,0.2915,0.0823,0.0012,0.2963,0.1669,-0.4148878,0.99075866,0.004642166,0.9956835,0.8883329,2.4181478,0.228
Austin-33-NW,2022-09-26,30.6222,-98.0846,0.1421,0.1212,0.1159,0.1139,0.13,0.1859,0.2215,0.2211,0.2542,0.0558,0.0013,0.3061,0.1932,-0.31216615,0.98830926,0.0058796923,0.9950804,0.8755842,1.907679,0.136
Bedford-5-WNW,2018-08-06,38.8882,-86.5707,0.132,0.0871,0.0679,0.0433,0.0552,0.1289,0.1724,0.135,0.1886,0.0259,0.0009,0.073,0.0308,-0.33070478,0.98675495,0.0066666664,0.99138343,0.8366549,1.988218,0.179
Blackville-3-W,2023-01-23,33.355,-81.3279,0.1452,0.1248,0.1153,0.1242,0.1529,0.2086,0.2417,0.2427,0.2702,0.1238,0.0018,0.293,0.176,-0.35586593,0.98527604,0.0074165636,0.99330235,0.880384,2.1049435,0.331
Blackville-3-W,2023-01-16,33.355,-81.3279,0.1339,0.1199,0.1102,0.1196,0.148,0.1962,0.2167,0.2229,0.2496,0.1177,0.0018,0.3143,0.1972,-0.33833683,0.9839786,0.0080753695,0.99332094,0.87351316,2.022686,0.201
Austin-33-NW,2024-04-08,30.6222,-98.0846,0.3428,0.2954,0.2814,0.2985,0.3132,0.3504,0.3807,0.3399,0.3876,0.1888,0.0354,0.3325,0.2601,-0.094157405,0.8113509,0.10414828,0.89997166,0.77629715,1.2078891,0.223
Bedford-5-WNW,2018-07-02,38.8882,-86.5707,0.1559,0.1311,0.1271,0.1094,0.1454,0.2871,0.3631,0.3405,0.417,0.0459,0.0027,0.2562,0.123,-0.45637298,0.98426574,0.007929516,0.990991,0.9019861,2.6789927,0.273
Batesville-8-WNW,2022-02-07,35.8201,-91.7812,0.1496,0.1201,0.1145,0.1229,0.1818,0.2473,0.2666,0.3225,0.3106,0.1618,0.0017,0.1893,0.1038,-0.47597253,0.98951256,0.005271318,0.9933788,0.9022963,2.816594,0.39
Blackville-3-W,2022-12-19,33.355,-81.3279,0.1813,0.1475,0.1341,0.1387,0.1716,0.2389,0.2583,0.2653,0.2979,0.1824,0.0234,0.3236,0.216,-0.32849273,0.837894,0.08820203,0.9235669,0.78761935,1.9783744,0.235
Blackville-3-W,2022-12-12,33.355,-81.3279,0.2541,0.2123,0.1897,0.1894,0.2021,0.2379,0.2551,0.2319,0.2721,0.0898,0.0017,0.2429,0.192,-0.10009487,0.9854452,0.007330746,0.99286467,0.8772625,1.2224565,0.235
Austin-33-NW,2024-03-04,30.6222,-98.0846,0.1809,0.1593,0.1452,0.1535,0.1681,0.1954,0.2287,0.2366,0.2647,0.0821,0.0017,0.3947,0.263,-0.23939236,0.98573226,0.007185123,0.9946287,0.87887245,1.6294765,0.272
Austin-33-NW,2022-07-18,30.6222,-98.0846,0.1535,0.1364,0.1358,0.1482,0.1662,0.2086,0.2467,0.2414,0.2926,0.0487,0.0011,0.3441,0.2178,-0.27995756,0.9909278,0.0045567523,0.99624956,0.8835861,1.7776141,0.081
Bedford-5-WNW,2018-05-28,38.8882,-86.5707,0.1409,0.1066,0.1056,0.0768,0.1157,0.2915,0.3853,0.3492,0.4258,0.0788,0.012,0.1841,0.0869,-0.5356201,0.9335548,0.03436426,0.9559876,0.86699915,3.3068182,0.193
Batesville-8-WNW,2022-01-03,35.8201,-91.7812,0.1367,0.1035,0.0923,0.0783,0.1306,0.2328,0.2575,0.2702,0.2931,0.174,0.0031,0.2418,0.1384,-0.49075866,0.97731423,0.011472982,0.9879636,0.8825325,2.9274108,0.349
Blackville-3-W,2022-11-14,33.355,-81.3279,0.1437,0.1142,0.1062,0.1049,0.1328,0.1827,0.2042,0.2163,0.2353,0.115,0.002,0.3176,0.1993,-0.34139535,0.9816766,0.009246417,0.9925359,0.869938,2.0367231,0.231
Blackville-3-W,2022-11-07,33.355,-81.3279,0.1428,0.1143,0.1038,0.105,0.1193,0.1722,0.2031,0.1904,0.239,0.0325,0.0014,0.3125,0.1762,-0.2943576,0.9854015,0.0073529407,0.99444777,0.86273247,1.8342968,0.155
Austin-33-NW,2024-01-29,30.6222,-98.0846,0.1419,0.1199,0.1057,0.1136,0.1226,0.1438,0.1517,0.1658,0.1887,0.0814,0.0022,0.3005,0.2086,-0.22136281,0.9738094,0.013268998,0.9906083,0.84583336,1.5685904,0.345
Austin-33-NW,2022-06-13,30.6222,-98.0846,0.1452,0.1247,0.1244,0.1211,0.1442,0.2205,0.2534,0.2455,0.292,0.0641,0.0013,0.3131,0.1878,-0.32738578,0.9894651,0.0052953158,0.9953562,0.88386047,1.9734727,0.144
Blackville-3-W,2022-10-10,33.355,-81.3279,0.3879,0.3751,0.3597,0.3806,0.399,0.4702,0.5144,0.4933,0.5613,0.1173,0.0019,0.4999,0.386,-0.15662368,0.9923264,0.0038516116,0.99618125,0.9288036,1.3714206,0.161
Asheville-13-S,2019-11-18,35.4185,-82.5567,0.1488,0.1134,0.0896,0.07,0.0908,0.1408,0.1596,0.1529,0.173,0.0493,0.0018,0.1077,0.0572,-0.26103094,0.97672915,0.011772401,0.9862805,0.84128135,1.7064732,0.268
Blackville-3-W,2022-10-03,33.355,-81.3279,0.5326,0.5461,0.5185,0.5497,0.5489,0.5882,0.6245,0.5994,0.6436,0.17,0.0021,0.513,0.3781,-0.072367854,0.9930175,0.0035035035,0.9962315,0.9387388,1.1560271,0.19
Austin-33-NW,2023-12-25,30.6222,-98.0846,0.1406,0.1178,0.0989,0.1035,0.1161,0.1477,0.1629,0.1647,0.1958,0.0899,0.0027,0.2755,0.1824,-0.24962066,0.9677419,0.016393444,0.98780763,0.84203196,1.6653186,0.421
Austin-33-NW,2022-05-09,30.6222,-98.0846,0.1982,0.1332,0.1095,0.0927,0.1191,0.159,0.2002,0.1148,0.227,0.0461,0.0011,0.1637,0.1303,-0.02362907,0.9810182,0.009581882,0.9921316,0.82111067,1.0484018,0.12
Batesville-8-WNW,2021-10-25,35.8201,-91.7812,0.12,0.0976,0.095,0.0878,0.1305,0.2356,0.2816,0.2866,0.3249,0.0956,0.0013,0.2772,0.1513,-0.5020964,0.99096906,0.0045359386,0.995399,0.8955627,3.0168421,0.242
Blackville-3-W,2022-09-05,33.355,-81.3279,0.2809,0.2403,0.2204,0.2083,0.2172,0.3048,0.3588,0.3236,0.3818,0.0937,0.0261,0.219,0.1548,-0.18970585,0.85072917,0.080655135,0.90821177,0.8037045,1.4682395,0.279
Asheville-13-S,2019-10-14,35.4185,-82.5567,0.1302,0.0986,0.0961,0.0917,0.1339,0.2309,0.2672,0.2678,0.2948,0.1943,0.0086,0.2939,0.1789,-0.4718329,0.9377714,0.03211352,0.96984047,0.85570127,2.7866805,0.136
Blackville-3-W,2022-08-29,33.355,-81.3279,0.1442,0.105,0.1035,0.0823,0.1129,0.2444,0.3149,0.2648,0.3504,0.0355,0.0063,0.2264,0.1031,-0.43795818,0.9535227,0.02379154,0.97467333,0.8655075,2.5584543,0.206
Austin-33-NW,2023-11-20,30.6222,-98.0846,0.1475,0.1202,0.1092,0.1064,0.127,0.1794,0.2064,0.2051,0.2435,0.05,0.0012,0.2671,0.1545,-0.3051225,0.9883664,0.005850805,0.9949303,0.87005824,1.8782051,0.316
Bedford-5-WNW,2018-02-12,38.8882,-86.5707,0.1497,0.1234,0.1096,0.1352,0.1693,0.1993,0.2225,0.2297,0.2581,0.1716,0.0066,0.2096,0.1276,-0.35396403,0.9441389,0.02873313,0.970397,0.8506876,2.095803,0.393
Asheville-13-S,2024-07-29,35.4185,-82.5567,0.2623,0.2171,0.1784,0.1535,0.1463,0.1742,0.1938,0.1796,0.1884,0.0375,0.001,0.0436,0.0144,-0.0033519706,0.98892576,0.005567929,0.99107945,0.86027944,1.0067265,0.301
Asheville-13-S,2022-12-12,35.4185,-82.5567,0.1494,0.1154,0.106,0.1002,0.1446,0.2282,0.2613,0.2564,0.299,0.1217,0.0015,0.2263,0.1252,-0.415011,0.9883675,0.0058502345,0.99380416,0.8862133,2.4188678,0.325
Baker-5-W,2018-10-08,39.0118,-114.209,0.1576,0.1541,0.1483,0.1652,0.1749,0.2001,0.2131,0.2036,0.2281,0.1147,0.0021,0.2416,0.18,-0.1571469,0.97958183,0.010314342,0.9906103,0.86429226,1.3728927,0.129
Asheville-13-S,2024-06-24,35.4185,-82.5567,0.1173,0.0958,0.1076,0.0888,0.1442,0.2942,0.3469,0.3377,0.392,0.1121,0.0012,0.2703,0.1396,-0.5167303,0.9929183,0.0035534499,0.99606043,0.9076051,3.138476,0.264
Asheville-13-S,2022-11-07,35.4185,-82.5567,0.1632,0.1432,0.1345,0.1278,0.1589,0.2514,0.2987,0.289,0.3459,0.06,0.002,0.2937,0.1877,-0.36481702,0.9862543,0.0069204154,0.993159,0.892944,2.148699,0.193
